dataset,arm,fold,config,inner_mean,exploratory
aptos2019,vs,0,"g=0.0,t=0.0",0.6284277023290499,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,0,"g=0.0,t=0.5",0.639144322808011,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,0,"g=0.0,t=1.0",0.6420004123570754,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,0,"g=0.0,t=1.5",0.6470360188237216,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,0,"g=0.1,t=0.0",0.6425682536428143,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,0,"g=0.1,t=0.5",0.6541788413851266,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,0,"g=0.1,t=1.0",0.6502706415212927,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,0,"g=0.1,t=1.5",0.6403700300414419,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,0,"g=0.2,t=0.0",0.655048807358931,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,0,"g=0.2,t=0.5",0.653632915289508,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,0,"g=0.2,t=1.0",0.6435124204415186,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,0,"g=0.2,t=1.5",0.639018079029051,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,0,"g=0.3,t=0.0",0.6556273695157906,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,0,"g=0.3,t=0.5",0.645630211459472,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,0,"g=0.3,t=1.0",0.6347479567900213,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,0,"g=0.3,t=1.5",0.6262679829042404,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,0,"g=0.4,t=0.0",0.649871546475333,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
